Математика 11 класс
Номер заявки	Балл	Статус
№ 1115334	85	Призер
№ 1115439	85	Призер
№ 1115442	90	Призер
№ 1115512	85	Призер
№ 1115538	85	Призер
№ 1115551	85	Призер
№ 1115562	85	Призер
№ 1115567	80	Призер
№ 1115578	85	Призер
№ 1115613	85	Призер
№ 1115696	85	Призер
%
Математика 10 класс
Номер заявки	Балл	Статус
№ 1004768	100	Победитель
№ 1005455	100	Победитель
№ 1006775	100	Победитель
№ 1006897	100	Победитель
№ 1007442	100	Победитель
№ 1009616	100	Победитель
№ 1011491	100	Победитель
№ 1013899	100	Победитель
№ 1015221	100	Победитель
№ 1018176	100	Победитель
№ 1019733	100	Победитель
№ 1020459	100	Победитель
№ 1023818	100	Победитель
№ 1025652	100	Победитель
№ 1029144	100	Победитель
№ 1029836	100	Победитель
№ 1031310	100	Победитель
№ 1032968	100	Победитель
№ 1033838	100	Победитель
№ 1036067	100	Победитель
№ 1041981	100	Победитель
№ 1044352	100	Победитель
№ 1045630	100	Победитель
№ 1045860	100	Победитель
№ 1048342	100	Победитель
№ 1054991	100	Победитель
№ 1057478	100	Победитель
№ 1058471	100	Победитель
№ 1060435	100	Победитель
№ 1060741	100	Победитель
№ 1061189	100	Победитель
№ 1064362	100	Победитель
№ 1064792	100	Победитель
№ 1065060	100	Победитель
№ 1065593	100	Победитель
№ 1065830	100	Победитель
№ 1069919	100	Победитель
№ 1070885	100	Победитель
№ 1075127	100	Победитель
№ 1076225	100	Победитель
№ 1084161	100	Победитель
№ 1085045	100	Победитель
№ 1086604	100	Победитель
№ 1093175	100	Победитель
№ 1094957	100	Победитель
№ 1095195	100	Победитель
№ 1097148	100	Победитель
№ 1097434	100	Победитель
№ 1100249	100	Победитель
№ 1102425	100	Победитель
№ 1105927	100	Победитель
№ 1106885	100	Победитель
№ 1107219	100	Победитель
№ 1107471	100	Победитель
№ 1107725	100	Победитель
№ 1108087	100	Победитель
№ 1108362	100	Победитель
№ 1108502	100	Победитель
№ 1108773	100	Победитель
№ 1108803	100	Победитель
№ 1108838	100	Победитель
№ 1108940	100	Победитель
№ 1109197	100	Победитель
№ 1109236	100	Победитель
№ 1109240	100	Победитель
№ 1109692	100	Победитель
№ 1109940	100	Победитель
№ 1110206	100	Победитель
№ 1110436	100	Победитель
№ 1110493	100	Победитель
№ 1110871	100	Победитель
№ 1111106	100	Победитель
№ 1111433	100	Победитель
№ 1111474	100	Победитель
№ 1111745	100	Победитель
№ 1111836	100	Победитель
№ 1112029	100	Победитель
№ 1112082	100	Победитель
№ 1112526	100	Победитель
№ 1112549	100	Победитель
№ 1112979	100	Победитель
№ 1113128	100	Победитель
№ 1113163	100	Победитель
№ 1113169	100	Победитель
№ 1113172	100	Победитель
№ 1113305	100	Победитель
№ 1113420	100	Победитель
№ 1113623	100	Победитель
№ 1113631	100	Победитель
№ 1113824	100	Победитель
№ 1113855	100	Победитель
№ 1113887	100	Победитель
№ 1113889	100	Победитель
№ 1113966	100	Победитель
№ 1114069	100	Победитель
№ 1114142	100	Победитель
№ 1114196	100	Победитель
№ 1114197	100	Победитель
№ 1114204	100	Победитель
№ 1114366	100	Победитель
№ 1114383	100	Победитель
№ 1114550	100	Победитель
№ 1114911	100	Победитель
№ 1115246	100	Победитель
№ 1115303	100	Победитель
№ 1115309	100	Победитель
№ 1115435	100	Победитель
№ 1115446	100	Победитель
№ 1115533	100	Победитель
№ 1002452	75	Призер
№ 1003029	75	Призер
№ 1003209	85	Призер
№ 1003584	75	Призер
№ 1004031	90	Призер
№ 1004844	75	Призер
№ 1005347	85	Призер
№ 1005766	85	Призер
№ 1006030	85	Призер
№ 1006407	85	Призер
№ 1006809	90	Призер
№ 1007174	85	Призер
№ 1007640	90	Призер
№ 1007766	85	Призер
№ 1007871	85	Призер
№ 1009402	85	Призер
№ 1010062	90	Призер
№ 1010480	85	Призер
№ 1011226	85	Призер
№ 1011317	85	Призер
№ 1011443	85	Призер
№ 1012103	75	Призер
№ 1012521	75	Призер
№ 1013356	85	Призер
№ 1015425	85	Призер
№ 1015539	75	Призер
№ 1015627	80	Призер
№ 1016592	90	Призер
№ 1016968	90	Призер
№ 1018649	85	Призер
№ 1019670	85	Призер
№ 1020636	75	Призер
№ 1020768	75	Призер
№ 1020900	75	Призер
№ 1021832	85	Призер
№ 1022937	75	Призер
№ 1023637	85	Призер
№ 1025698	85	Призер
№ 1027460	75	Призер
№ 1028463	75	Призер
№ 1028645	90	Призер
№ 1029295	75	Призер
№ 1029332	85	Призер
№ 1030162	85	Призер
№ 1030637	75	Призер
№ 1030882	75	Призер
№ 1032292	80	Призер
№ 1032326	75	Призер
№ 1034831	75	Призер
№ 1035047	80	Призер
№ 1035519	75	Призер
№ 1035787	85	Призер
№ 1036495	85	Призер
№ 1037059	85	Призер
№ 1037258	85	Призер
№ 1037689	85	Призер
№ 1038031	75	Призер
№ 1038484	90	Призер
№ 1039405	80	Призер
№ 1039585	85	Призер
№ 1040614	90	Призер
№ 1041111	85	Призер
№ 1041213	75	Призер
№ 1041254	80	Призер
№ 1042275	90	Призер
№ 1042992	80	Призер
№ 1043123	75	Призер
№ 1043363	75	Призер
№ 1043447	75	Призер
№ 1044735	90	Призер
№ 1045026	90	Призер
№ 1045088	85	Призер
№ 1045101	85	Призер
№ 1047728	75	Призер
№ 1047730	90	Призер
№ 1048074	85	Призер
№ 1050656	90	Призер
№ 1051258	90	Призер
№ 1051723	85	Призер
№ 1053449	85	Призер
№ 1056768	85	Призер
№ 1058836	90	Призер
№ 1059337	75	Призер
№ 1059580	75	Призер
№ 1060847	85	Призер
№ 1061223	85	Призер
№ 1061331	75	Призер
№ 1061370	85	Призер
№ 1062469	75	Призер
№ 1065502	90	Призер
№ 1065940	90	Призер
№ 1066856	85	Призер
№ 1067350	85	Призер
№ 1067454	85	Призер
№ 1069106	80	Призер
№ 1070230	85	Призер
№ 1070343	90	Призер
№ 1071479	85	Призер
№ 1071480	85	Призер
№ 1074808	90	Призер
№ 1074826	85	Призер
№ 1074979	85	Призер
№ 1075204	75	Призер
№ 1075340	85	Призер
№ 1075557	75	Призер
№ 1076524	75	Призер
№ 1078907	90	Призер
№ 1079332	75	Призер
№ 1081307	90	Призер
№ 1081963	75	Призер
№ 1083100	80	Призер
№ 1083610	90	Призер
№ 1083672	85	Призер
№ 1083890	75	Призер
№ 1084467	75	Призер
№ 1086571	85	Призер
№ 1088368	90	Призер
№ 1088734	75	Призер
№ 1089144	90	Призер
№ 1089486	85	Призер
№ 1089580	85	Призер
№ 1089888	75	Призер
№ 1090440	85	Призер
№ 1090621	90	Призер
№ 1090625	80	Призер
№ 1091179	85	Призер
№ 1091475	85	Призер
№ 1091513	85	Призер
№ 1091642	85	Призер
№ 1092231	85	Призер
№ 1092267	75	Призер
№ 1092413	85	Призер
№ 1092578	85	Призер
№ 1094701	75	Призер
№ 1095572	75	Призер
№ 1095806	75	Призер
№ 1097208	85	Призер
№ 1097355	85	Призер
№ 1097517	85	Призер
№ 1098473	85	Призер
№ 1098772	85	Призер
№ 1098948	85	Призер
№ 1101406	90	Призер
№ 1101490	85	Призер
№ 1102115	75	Призер
№ 1102283	90	Призер
№ 1102484	85	Призер
№ 1102943	85	Призер
№ 1104107	85	Призер
№ 1104304	85	Призер
№ 1105719	85	Призер
№ 1106089	85	Призер
№ 1106283	75	Призер
№ 1107455	75	Призер
№ 1107523	90	Призер
№ 1107816	85	Призер
№ 1107865	90	Призер
№ 1107934	90	Призер
№ 1108029	90	Призер
№ 1108127	90	Призер
№ 1108282	75	Призер
№ 1108350	75	Призер
№ 1108357	90	Призер
№ 1108363	85	Призер
№ 1108397	75	Призер
№ 1108401	90	Призер
№ 1108403	85	Призер
№ 1108407	85	Призер
№ 1108419	75	Призер
№ 1108534	85	Призер
№ 1108567	90	Призер
№ 1108579	85	Призер
№ 1108717	85	Призер
№ 1109247	90	Призер
№ 1109588	75	Призер
№ 1109687	80	Призер
№ 1109740	85	Призер
№ 1110064	90	Призер
№ 1110134	80	Призер
№ 1110238	90	Призер
№ 1110354	75	Призер
№ 1110411	85	Призер
№ 1110417	80	Призер
№ 1111051	85	Призер
№ 1111065	75	Призер
№ 1111083	85	Призер
№ 1111223	75	Призер
№ 1111319	75	Призер
№ 1111476	90	Призер
№ 1111776	90	Призер
№ 1111854	85	Призер
№ 1112032	75	Призер
№ 1112037	85	Призер
№ 1112061	85	Призер
№ 1112110	75	Призер
№ 1112114	85	Призер
№ 1112245	85	Призер
№ 1112323	80	Призер
№ 1112382	75	Призер
№ 1112575	75	Призер
№ 1112598	75	Призер
№ 1112887	85	Призер
№ 1113049	85	Призер
№ 1113085	85	Призер
№ 1113133	75	Призер
№ 1113186	85	Призер
№ 1113187	85	Призер
№ 1113207	85	Призер
№ 1113244	90	Призер
№ 1113307	80	Призер
№ 1113452	75	Призер
№ 1113519	85	Призер
№ 1113590	75	Призер
№ 1113684	80	Призер
№ 1113744	85	Призер
№ 1113767	75	Призер
№ 1113825	90	Призер
№ 1113884	75	Призер
№ 1113926	85	Призер
№ 1113927	85	Призер
№ 1113958	85	Призер
№ 1114013	75	Призер
№ 1114105	75	Призер
№ 1114222	90	Призер
№ 1114232	85	Призер
№ 1114321	75	Призер
№ 1114419	85	Призер
№ 1114441	75	Призер
№ 1114450	90	Призер
№ 1114465	80	Призер
№ 1114468	90	Призер
№ 1114528	90	Призер
№ 1114605	75	Призер
№ 1114613	75	Призер
№ 1114678	75	Призер
№ 1114836	75	Призер
№ 1114879	90	Призер
№ 1114897	85	Призер
№ 1114957	85	Призер
№ 1114967	90	Призер
№ 1115086	75	Призер
№ 1115129	85	Призер
№ 1115297	75	Призер
№ 1115353	85	Призер
№ 1115444	75	Призер
№ 1115492	75	Призер
№ 1115555	75	Призер
№ 1115697	75	Призер
%
Математика 9 класс
Номер заявки	Балл	Статус
№ 1016928	100	Победитель
№ 1041958	100	Победитель
№ 1051487	100	Победитель
№ 1089607	100	Победитель
№ 1107420	100	Победитель
№ 1107504	100	Победитель
№ 1108807	100	Победитель
№ 1111699	100	Победитель
№ 1111924	100	Победитель
№ 1112414	100	Победитель
№ 1113146	100	Победитель
№ 1004706	80	Призер
№ 1006358	90	Призер
№ 1007768	80	Призер
№ 1008238	90	Призер
№ 1008430	85	Призер
№ 1013393	85	Призер
№ 1015058	80	Призер
№ 1017500	80	Призер
№ 1024317	75	Призер
№ 1025356	90	Призер
№ 1031292	75	Призер
№ 1038365	80	Призер
№ 1044096	80	Призер
№ 1052713	80	Призер
№ 1056922	90	Призер
№ 1061861	90	Призер
№ 1063666	80	Призер
№ 1064339	85	Призер
№ 1064844	90	Призер
№ 1066399	90	Призер
№ 1066477	80	Призер
№ 1068571	80	Призер
№ 1075122	80	Призер
№ 1076057	80	Призер
№ 1085665	90	Призер
№ 1087565	80	Призер
№ 1088083	75	Призер
№ 1096397	80	Призер
№ 1103339	80	Призер
№ 1103960	90	Призер
№ 1103996	90	Призер
№ 1104475	90	Призер
№ 1108030	80	Призер
№ 1108575	80	Призер
№ 1108784	90	Призер
№ 1110293	80	Призер
№ 1110591	85	Призер
№ 1111029	85	Призер
№ 1111491	90	Призер
№ 1111664	80	Призер
№ 1111789	80	Призер
№ 1111792	75	Призер
№ 1112031	75	Призер
№ 1112517	80	Призер
№ 1113317	90	Призер
№ 1114079	80	Призер
№ 1114111	90	Призер
№ 1114438	80	Призер
№ 1114507	80	Призер
№ 1115176	80	Призер
%
Математика 7-8 классы
Номер заявки	Балл	Статус
№ 1008041	100	Победитель
№ 1010460	100	Победитель
№ 1013877	100	Победитель
№ 1034537	100	Победитель
№ 1035980	100	Победитель
№ 1044423	100	Победитель
№ 1047153	100	Победитель
№ 1049099	100	Победитель
№ 1049888	100	Победитель
№ 1054359	100	Победитель
№ 1060322	100	Победитель
№ 1082837	100	Победитель
№ 1084043	100	Победитель
№ 1088187	100	Победитель
№ 1101543	100	Победитель
№ 1102572	100	Победитель
№ 1102968	100	Победитель
№ 1103976	100	Победитель
№ 1106725	100	Победитель
№ 1108093	100	Победитель
№ 1109730	100	Победитель
№ 1111877	100	Победитель
№ 1111998	100	Победитель
№ 1112072	100	Победитель
№ 1112966	100	Победитель
№ 1113255	100	Победитель
№ 1113890	100	Победитель
№ 1113899	100	Победитель
№ 1114285	100	Победитель
№ 1114328	100	Победитель
№ 1115245	100	Победитель
№ 1004452	75	Призер
№ 1004898	75	Призер
№ 1005198	75	Призер
№ 1005289	80	Призер
№ 1006699	85	Призер
№ 1008410	90	Призер
№ 1008796	75	Призер
№ 1009193	85	Призер
№ 1009495	80	Призер
№ 1010113	85	Призер
№ 1010461	75	Призер
№ 1011164	85	Призер
№ 1013611	85	Призер
№ 1013839	75	Призер
№ 1013863	75	Призер
№ 1014026	75	Призер
№ 1016576	90	Призер
№ 1021876	75	Призер
№ 1022215	90	Призер
№ 1024007	80	Призер
№ 1024045	75	Призер
№ 1025070	80	Призер
№ 1025370	85	Призер
№ 1025427	75	Призер
№ 1026792	85	Призер
№ 1028864	90	Призер
№ 1029434	90	Призер
№ 1035198	80	Призер
№ 1035982	85	Призер
№ 1038252	75	Призер
№ 1042126	75	Призер
№ 1043908	90	Призер
№ 1044960	85	Призер
№ 1045514	75	Призер
№ 1048506	75	Призер
№ 1048741	80	Призер
№ 1049973	75	Призер
№ 1050132	90	Призер
№ 1053225	75	Призер
№ 1054475	75	Призер
№ 1057044	75	Призер
№ 1058431	75	Призер
№ 1059057	75	Призер
№ 1059212	90	Призер
№ 1060605	75	Призер
№ 1062383	75	Призер
№ 1063558	75	Призер
№ 1064398	75	Призер
№ 1064566	75	Призер
№ 1068291	80	Призер
№ 1069793	85	Призер
№ 1070163	85	Призер
№ 1071276	85	Призер
№ 1071400	85	Призер
№ 1071412	75	Призер
№ 1075062	90	Призер
№ 1079215	85	Призер
№ 1082859	75	Призер
№ 1085402	90	Призер
№ 1086616	90	Призер
№ 1087105	75	Призер
№ 1088096	85	Призер
№ 1088207	85	Призер
№ 1088645	75	Призер
№ 1089556	85	Призер
№ 1089725	75	Призер
№ 1091180	85	Призер
№ 1091529	85	Призер
№ 1093001	90	Призер
№ 1093522	75	Призер
№ 1094091	90	Призер
№ 1095146	80	Призер
№ 1096964	75	Призер
№ 1097185	75	Призер
№ 1097989	75	Призер
№ 1101392	75	Призер
№ 1101410	75	Призер
№ 1101546	75	Призер
№ 1101873	90	Призер
№ 1102493	90	Призер
№ 1102932	75	Призер
№ 1103650	80	Призер
№ 1103792	85	Призер
№ 1103880	85	Призер
№ 1103963	90	Призер
№ 1104701	80	Призер
№ 1105560	90	Призер
№ 1107120	85	Призер
№ 1107136	75	Призер
№ 1107171	80	Призер
№ 1107205	75	Призер
№ 1107245	85	Призер
№ 1107328	90	Призер
№ 1107681	75	Призер
№ 1108010	85	Призер
№ 1108116	75	Призер
№ 1108306	75	Призер
№ 1108443	75	Призер
№ 1108444	90	Призер
№ 1108447	75	Призер
№ 1108584	75	Призер
№ 1108665	85	Призер
№ 1108680	75	Призер
№ 1109252	75	Призер
№ 1109350	75	Призер
№ 1109373	75	Призер
№ 1109384	75	Призер
№ 1109444	85	Призер
№ 1109521	75	Призер
№ 1109704	85	Призер
№ 1109706	85	Призер
№ 1109713	75	Призер
№ 1109734	75	Призер
№ 1110297	80	Призер
№ 1110300	75	Призер
№ 1110426	85	Призер
№ 1110438	75	Призер
№ 1111108	85	Призер
№ 1111188	75	Призер
№ 1111289	75	Призер
№ 1111515	90	Призер
№ 1112158	75	Призер
№ 1112162	75	Призер
№ 1112237	75	Призер
№ 1112302	90	Призер
№ 1112530	75	Призер
№ 1112588	75	Призер
№ 1112797	90	Призер
№ 1112798	75	Призер
№ 1113092	75	Призер
№ 1113159	75	Призер
№ 1113192	90	Призер
№ 1113370	75	Призер
№ 1113419	80	Призер
№ 1113586	80	Призер
№ 1113612	80	Призер
№ 1113737	75	Призер
№ 1113814	75	Призер
№ 1113883	75	Призер
№ 1113954	75	Призер
№ 1114045	85	Призер
№ 1114080	90	Призер
№ 1114297	85	Призер
№ 1114303	75	Призер
№ 1114387	75	Призер
№ 1114494	75	Призер
№ 1114505	85	Призер
№ 1114642	75	Призер
№ 1114665	75	Призер
№ 1114782	90	Призер
№ 1114841	80	Призер
№ 1114909	75	Призер
№ 1114930	75	Призер
№ 1114968	75	Призер
№ 1115072	90	Призер
№ 1115108	75	Призер
№ 1115316	75	Призер
№ 1115388	80	Призер
№ 1115575	85	Призер
%
Математика 5-6 классы
Номер заявки	Балл	Статус
№ 1003214	100	Победитель
№ 1003382	100	Победитель
№ 1004160	100	Победитель
№ 1006695	100	Победитель
№ 1007319	100	Победитель
№ 1007417	100	Победитель
№ 1007833	100	Победитель
№ 1008964	100	Победитель
№ 1009017	100	Победитель
№ 1011363	100	Победитель
№ 1013604	100	Победитель
№ 1015063	100	Победитель
№ 1015839	100	Победитель
№ 1017599	100	Победитель
№ 1018088	100	Победитель
№ 1019197	100	Победитель
№ 1019554	100	Победитель
№ 1020489	100	Победитель
№ 1020581	100	Победитель
№ 1020715	100	Победитель
№ 1020974	100	Победитель
№ 1021963	100	Победитель
№ 1022071	100	Победитель
№ 1022580	100	Победитель
№ 1022610	100	Победитель
№ 1023082	100	Победитель
№ 1023696	100	Победитель
№ 1023883	100	Победитель
№ 1026313	100	Победитель
№ 1026886	100	Победитель
№ 1028220	100	Победитель
№ 1028542	100	Победитель
№ 1029451	100	Победитель
№ 1030180	100	Победитель
№ 1031116	100	Победитель
№ 1031256	100	Победитель
№ 1033337	100	Победитель
№ 1036317	100	Победитель
№ 1036703	100	Победитель
№ 1037692	100	Победитель
№ 1040491	100	Победитель
№ 1045720	100	Победитель
№ 1046284	100	Победитель
№ 1046582	100	Победитель
№ 1048503	100	Победитель
№ 1049483	100	Победитель
№ 1050381	100	Победитель
№ 1050482	100	Победитель
№ 1053489	100	Победитель
№ 1056936	100	Победитель
№ 1058055	100	Победитель
№ 1058277	100	Победитель
№ 1058879	100	Победитель
№ 1065141	100	Победитель
№ 1065150	100	Победитель
№ 1065309	100	Победитель
№ 1068443	100	Победитель
№ 1068667	100	Победитель
№ 1074459	100	Победитель
№ 1074473	100	Победитель
№ 1078781	100	Победитель
№ 1079124	100	Победитель
№ 1083004	100	Победитель
№ 1083294	100	Победитель
№ 1085562	100	Победитель
№ 1092585	100	Победитель
№ 1093208	100	Победитель
№ 1095183	100	Победитель
№ 1095473	100	Победитель
№ 1097814	100	Победитель
№ 1101695	100	Победитель
№ 1102909	100	Победитель
№ 1102910	100	Победитель
№ 1103039	100	Победитель
№ 1104985	100	Победитель
№ 1105233	100	Победитель
№ 1105854	100	Победитель
№ 1106056	100	Победитель
№ 1106154	100	Победитель
№ 1106376	100	Победитель
№ 1106715	100	Победитель
№ 1106752	100	Победитель
№ 1107001	100	Победитель
№ 1107447	100	Победитель
№ 1107498	100	Победитель
№ 1108390	100	Победитель
№ 1108588	100	Победитель
№ 1108608	100	Победитель
№ 1108652	100	Победитель
№ 1108708	100	Победитель
№ 1108810	100	Победитель
№ 1108973	100	Победитель
№ 1109794	100	Победитель
№ 1109955	100	Победитель
№ 1110189	100	Победитель
№ 1111872	100	Победитель
№ 1112115	100	Победитель
№ 1112751	100	Победитель
№ 1112775	100	Победитель
№ 1112889	100	Победитель
№ 1113665	100	Победитель
№ 1113703	100	Победитель
№ 1114104	100	Победитель
№ 1114762	100	Победитель
№ 1114810	100	Победитель
№ 1114829	100	Победитель
№ 1114865	100	Победитель
№ 1115078	100	Победитель
№ 1115102	100	Победитель
№ 1115170	100	Победитель
№ 1115225	100	Победитель
№ 1115298	100	Победитель
№ 1003439	85	Призер
№ 1004376	80	Призер
№ 1005186	85	Призер
№ 1005409	80	Призер
№ 1006821	85	Призер
№ 1007530	85	Призер
№ 1008657	80	Призер
№ 1008899	80	Призер
№ 1009519	85	Призер
№ 1011250	85	Призер
№ 1011385	80	Призер
№ 1011651	80	Призер
№ 1015691	85	Призер
№ 1016719	80	Призер
№ 1017521	85	Призер
№ 1017530	85	Призер
№ 1017559	80	Призер
№ 1017894	85	Призер
№ 1019463	85	Призер
№ 1019890	85	Призер
№ 1020667	80	Призер
№ 1020956	80	Призер
№ 1021414	80	Призер
№ 1022562	85	Призер
№ 1022881	85	Призер
№ 1023815	85	Призер
№ 1023826	80	Призер
№ 1024506	80	Призер
№ 1025189	85	Призер
№ 1025758	85	Призер
№ 1026482	85	Призер
№ 1030714	85	Призер
№ 1030928	80	Призер
№ 1032714	85	Призер
№ 1032943	80	Призер
№ 1035362	85	Призер
№ 1036447	85	Призер
№ 1037299	80	Призер
№ 1037755	85	Призер
№ 1037930	85	Призер
№ 1038515	80	Призер
№ 1039316	85	Призер
№ 1041736	85	Призер
№ 1044552	85	Призер
№ 1045467	85	Призер
№ 1046992	85	Призер
№ 1050755	80	Призер
№ 1051033	85	Призер
№ 1051979	85	Призер
№ 1054035	85	Призер
№ 1056352	80	Призер
№ 1056730	80	Призер
№ 1058316	85	Призер
№ 1060777	80	Призер
№ 1062156	85	Призер
№ 1064580	85	Призер
№ 1064823	85	Призер
№ 1065999	85	Призер
№ 1068019	85	Призер
№ 1070556	85	Призер
№ 1072086	80	Призер
№ 1072658	80	Призер
№ 1072687	80	Призер
№ 1074069	80	Призер
№ 1074177	85	Призер
№ 1074945	85	Призер
№ 1075457	85	Призер
№ 1076168	85	Призер
№ 1076256	85	Призер
№ 1076788	85	Призер
№ 1077057	85	Призер
№ 1078432	85	Призер
№ 1079133	85	Призер
№ 1079654	85	Призер
№ 1080946	85	Призер
№ 1081412	85	Призер
№ 1081513	85	Призер
№ 1081824	85	Призер
№ 1082086	85	Призер
№ 1082680	80	Призер
№ 1083796	85	Призер
№ 1085999	80	Призер
№ 1087007	85	Призер
№ 1087805	80	Призер
№ 1087863	85	Призер
№ 1088051	85	Призер
№ 1091077	85	Призер
№ 1091185	85	Призер
№ 1091288	85	Призер
№ 1092171	80	Призер
№ 1092442	85	Призер
№ 1092937	80	Призер
№ 1093117	85	Призер
№ 1094121	85	Призер
№ 1094159	85	Призер
№ 1094259	85	Призер
№ 1096862	85	Призер
№ 1098012	85	Призер
№ 1098471	85	Призер
№ 1100354	85	Призер
№ 1100609	85	Призер
№ 1101122	80	Призер
№ 1101734	85	Призер
№ 1102601	85	Призер
№ 1102710	85	Призер
№ 1102821	85	Призер
№ 1103193	80	Призер
№ 1103540	85	Призер
№ 1103541	85	Призер
№ 1104353	85	Призер
№ 1104376	80	Призер
№ 1104382	80	Призер
№ 1104465	85	Призер
№ 1105105	85	Призер
№ 1105134	85	Призер
№ 1105696	85	Призер
№ 1105722	85	Призер
№ 1105731	85	Призер
№ 1106279	80	Призер
№ 1106640	80	Призер
№ 1107087	85	Призер
№ 1107175	85	Призер
№ 1107644	85	Призер
№ 1107877	85	Призер
№ 1107975	85	Призер
№ 1108188	85	Призер
№ 1108361	85	Призер
№ 1108530	85	Призер
№ 1108558	85	Призер
№ 1108611	85	Призер
№ 1108643	85	Призер
№ 1108654	85	Призер
№ 1108666	85	Призер
№ 1108942	85	Призер
№ 1109589	80	Призер
№ 1109594	80	Призер
№ 1109754	85	Призер
№ 1109899	85	Призер
№ 1109970	85	Призер
№ 1110193	80	Призер
№ 1110254	85	Призер
№ 1110273	85	Призер
№ 1110348	80	Призер
№ 1110632	80	Призер
№ 1110763	85	Призер
№ 1110946	85	Призер
№ 1111053	85	Призер
№ 1111054	85	Призер
№ 1111102	80	Призер
№ 1111191	85	Призер
№ 1111357	85	Призер
№ 1111802	80	Призер
№ 1111807	80	Призер
№ 1111834	85	Призер
№ 1112041	85	Призер
№ 1112286	80	Призер
№ 1112301	80	Призер
№ 1112386	85	Призер
№ 1112742	80	Призер
№ 1112788	85	Призер
№ 1112852	85	Призер
№ 1112902	80	Призер
№ 1112908	85	Призер
№ 1113010	85	Призер
№ 1113108	85	Призер
№ 1113176	85	Призер
№ 1113243	85	Призер
№ 1113300	85	Призер
№ 1113391	80	Призер
№ 1113426	85	Призер
№ 1113441	85	Призер
№ 1113489	80	Призер
№ 1113534	80	Призер
№ 1113836	85	Призер
№ 1113874	80	Призер
№ 1113978	85	Призер
№ 1114041	85	Призер
№ 1114168	85	Призер
№ 1114195	85	Призер
№ 1114239	85	Призер
№ 1114266	80	Призер
№ 1114446	85	Призер
№ 1114500	85	Призер
№ 1114602	85	Призер
№ 1114644	85	Призер
№ 1114749	80	Призер
№ 1114791	85	Призер
№ 1114912	85	Призер
№ 1115106	85	Призер
№ 1115152	80	Призер
№ 1115227	85	Призер
№ 1115593	85	Призер
№ 1115623	85	Призер
№ 1115676	80	Призер
№ 1115775	85	Призер
