,Номер заявки,Балл,Результат на финале,Результат на отборе,Статус,Класс
665,№ 1111868,35,35,100,Победитель,11
666,№ 1111895,30,30,100,Победитель,11
667,№ 1111909,20,20,100,Победитель,11
668,№ 1111940,45,45,100,Победитель,11
669,№ 1111989,60,60,100,Победитель,11
670,№ 1112013,65,65,80,Призер,11
671,№ 1112037,45,45,85,Призер,10
672,№ 1112082,35,35,100,Победитель,10
673,№ 1112128,75,75,100,Победитель,11
674,№ 1112217,40,40,100,Победитель,11
675,№ 1112323,85,85,80,Призер,10
676,№ 1112359,65,65,100,Победитель,11
677,№ 1112414,15,15,100,Победитель,9
678,№ 1112526,10,10,100,Победитель,10
679,№ 1112575,40,40,75,Призер,10
680,№ 1112598,35,35,75,Призер,10
681,№ 1112622,55,55,100,Победитель,11
682,№ 1112722,50,50,90,Призер,11
683,№ 1112756,10,10,90,Призер,11
684,№ 1112759,50,50,90,Призер,11
685,№ 1112777,40,40,85,Призер,11
686,№ 1112837,45,45,100,Победитель,11
687,№ 1112907,45,45,90,Призер,11
688,№ 1113068,40,40,90,Призер,11
689,№ 1113146,15,15,100,Победитель,9
690,№ 1113166,35,35,85,Призер,11
691,№ 1113169,35,35,100,Победитель,10
692,№ 1113178,60,60,100,Победитель,11
693,№ 1113187,50,50,85,Призер,10
694,№ 1113207,50,50,85,Призер,10
695,№ 1113245,45,45,85,Призер,11
696,№ 1113287,40,40,85,Призер,11
697,№ 1113305,15,15,100,Победитель,10
698,№ 1113308,55,55,100,Победитель,11
699,№ 1113317,40,40,90,Призер,9
700,№ 1113337,45,45,85,Призер,11
701,№ 1113439,85,85,80,Призер,11
702,№ 1113452,35,35,75,Призер,10
703,№ 1113554,65,65,85,Призер,11
704,№ 1113590,2,2,75,Призер,10
705,№ 1113631,60,60,100,Победитель,10
706,№ 1113739,45,45,85,Призер,11
707,№ 1113811,50,50,85,Призер,11
708,№ 1113817,30,30,85,Призер,11
709,№ 1113818,90,90,100,Победитель,11
710,№ 1113824,30,30,100,Победитель,10
711,№ 1113845,95,95,85,Призер,11
712,№ 1113851,65,65,85,Призер,11
713,№ 1113861,70,70,90,Призер,11
714,№ 1113884,2,2,75,Призер,10
715,№ 1113887,30,30,100,Победитель,10
716,№ 1113889,100,100,100,Победитель,10
717,№ 1113966,20,20,100,Победитель,10
718,№ 1114105,5,5,75,Призер,10
719,№ 1114174,15,15,100,Победитель,11
720,№ 1114196,60,60,100,Победитель,10
721,№ 1114232,75,75,85,Призер,10
722,№ 1114275,35,35,85,Призер,11
723,№ 1114319,60,60,80,Призер,11
724,№ 1114321,80,80,75,Призер,10
725,№ 1114338,85,85,100,Победитель,11
726,№ 1114366,30,30,100,Победитель,10
727,№ 1114383,75,75,100,Победитель,10
728,№ 1114403,10,10,100,Победитель,11
729,№ 1114450,2,2,90,Призер,10
730,№ 1114465,20,20,80,Призер,10
731,№ 1114468,100,100,90,Призер,10
732,№ 1114502,35,35,85,Призер,11
733,№ 1114507,30,30,80,Призер,9
734,№ 1114520,60,60,90,Призер,11
735,№ 1114544,50,50,80,Призер,11
736,№ 1114561,70,70,85,Призер,11
737,№ 1114590,30,30,100,Победитель,11
