,Номер заявки,Балл,Результат на финале,Результат на отборе,Статус,Класс
353,№ 1065593,100,100,100,Победитель,10
354,№ 1065777,35,35,100,Победитель,11
355,№ 1065781,60,60,80,Призер,11
356,№ 1065830,90,90,100,Победитель,10
357,№ 1065940,60,60,90,Призер,10
358,№ 1066000,30,30,85,Призер,11
359,№ 1066255,60,60,100,Победитель,11
360,№ 1066290,5,5,85,Призер,11
361,№ 1066560,50,50,100,Победитель,11
362,№ 1066590,55,55,100,Победитель,11
363,№ 1066856,25,25,85,Призер,10
364,№ 1066872,30,30,100,Победитель,11
365,№ 1066950,65,65,100,Победитель,11
366,№ 1067307,35,35,90,Призер,11
367,№ 1067312,30,30,100,Победитель,11
368,№ 1067356,45,45,100,Победитель,11
369,№ 1067454,50,50,85,Призер,10
370,№ 1067627,45,45,100,Победитель,11
371,№ 1067643,40,40,90,Призер,11
372,№ 1068168,70,70,80,Призер,11
373,№ 1068697,25,25,90,Призер,11
374,№ 1069320,75,75,100,Победитель,11
375,№ 1069680,55,55,100,Победитель,11
376,№ 1070139,70,70,100,Победитель,11
377,№ 1070230,60,60,85,Призер,10
378,№ 1070343,30,30,90,Призер,10
379,№ 1070380,70,70,90,Призер,11
380,№ 1070507,25,25,90,Призер,11
381,№ 1070601,35,35,85,Призер,11
382,№ 1070692,55,55,85,Призер,11
383,№ 1070762,45,45,90,Призер,11
384,№ 1070885,45,45,100,Победитель,10
385,№ 1070887,50,50,90,Призер,11
386,№ 1071362,35,35,100,Победитель,11
387,№ 1071421,55,55,90,Призер,11
388,№ 1071441,85,85,85,Призер,11
389,№ 1072617,20,20,90,Призер,11
390,№ 1072886,60,60,100,Победитель,11
391,№ 1073103,40,40,90,Призер,11
392,№ 1073247,50,50,85,Призер,11
393,№ 1074194,50,50,100,Победитель,11
394,№ 1074391,25,25,90,Призер,11
395,№ 1074757,35,35,85,Призер,11
396,№ 1074874,40,40,85,Призер,11
397,№ 1074971,25,25,100,Победитель,11
398,№ 1074979,10,10,85,Призер,10
399,№ 1075127,80,80,100,Победитель,10
400,№ 1075131,60,60,85,Призер,11
401,№ 1075204,30,30,75,Призер,10
402,№ 1075302,35,35,90,Призер,11
403,№ 1075509,30,30,90,Призер,11
404,№ 1076524,55,55,75,Призер,10
405,№ 1076851,25,25,90,Призер,11
406,№ 1077590,15,15,100,Победитель,11
407,№ 1077778,90,90,85,Призер,11
408,№ 1078861,75,75,85,Призер,11
409,№ 1079223,45,45,100,Победитель,11
410,№ 1079332,45,45,75,Призер,10
411,№ 1079826,55,55,100,Победитель,11
412,№ 1080559,50,50,100,Победитель,11
413,№ 1080924,30,30,85,Призер,11
414,№ 1081378,15,15,100,Победитель,11
415,№ 1081655,45,45,100,Победитель,11
416,№ 1081963,75,75,75,Призер,10
417,№ 1082436,75,75,100,Победитель,11
418,№ 1082621,2,2,90,Призер,11
419,№ 1083447,80,80,90,Призер,11
420,№ 1083505,40,40,100,Победитель,11
421,№ 1083924,40,40,90,Призер,11
422,№ 1084442,65,65,100,Победитель,11
423,№ 1085045,75,75,100,Победитель,10
424,№ 1085665,40,40,90,Призер,9
425,№ 1086449,50,50,100,Победитель,11
426,№ 1086526,30,30,85,Призер,11
427,№ 1086571,75,75,85,Призер,10
428,№ 1086697,75,75,90,Призер,11
429,№ 1086888,45,45,90,Призер,11
430,№ 1087027,75,75,100,Победитель,11
431,№ 1087136,90,90,100,Победитель,11
432,№ 1087175,20,20,100,Победитель,11
433,№ 1087565,40,40,80,Призер,9
434,№ 1087569,55,55,100,Победитель,11
435,№ 1087983,40,40,80,Призер,11
436,№ 1088154,40,40,90,Призер,11
437,№ 1088368,25,25,90,Призер,10
438,№ 1088734,35,35,75,Призер,10
439,№ 1088780,45,45,85,Призер,11
440,№ 1089144,40,40,90,Призер,10
441,№ 1089324,35,35,85,Призер,11
442,№ 1089558,60,60,100,Победитель,11
443,№ 1089580,85,85,85,Призер,10
444,№ 1089607,10,10,100,Победитель,9
445,№ 1089888,85,85,75,Призер,10
446,№ 1090365,90,90,100,Победитель,11
447,№ 1090440,25,25,85,Призер,10
448,№ 1090583,35,35,90,Призер,11
449,№ 1090625,80,80,80,Призер,10
450,№ 1090726,40,40,100,Победитель,11
451,№ 1091179,70,70,85,Призер,10
452,№ 1091930,70,70,85,Призер,11
453,№ 1092168,30,30,90,Призер,11
454,№ 1092231,40,40,85,Призер,10
455,№ 1092267,55,55,75,Призер,10
456,№ 1092413,20,20,85,Призер,10
457,№ 1092578,60,60,85,Призер,10
458,№ 1093175,20,20,100,Победитель,10
459,№ 1093302,45,45,100,Победитель,11
460,№ 1093343,65,65,100,Победитель,11
461,№ 1093404,60,60,100,Победитель,11
462,№ 1093863,50,50,90,Призер,11
463,№ 1094129,50,50,90,Призер,11
464,№ 1094193,35,35,85,Призер,11
465,№ 1094387,30,30,100,Победитель,11
466,№ 1094705,30,30,90,Призер,11
467,№ 1094957,35,35,100,Победитель,10
468,№ 1095173,25,25,85,Призер,11
469,№ 1095195,10,10,100,Победитель,10
470,№ 1095388,65,65,100,Победитель,11
471,№ 1095653,15,15,90,Призер,11
472,№ 1095865,30,30,85,Призер,11
473,№ 1096207,100,100,100,Победитель,11
474,№ 1096468,30,30,85,Призер,11
475,№ 1096621,35,35,90,Призер,11
476,№ 1097208,45,45,85,Призер,10
477,№ 1097302,30,30,85,Призер,11
478,№ 1097355,75,75,85,Призер,10
479,№ 1097434,45,45,100,Победитель,10
480,№ 1097504,45,45,100,Победитель,11
481,№ 1097517,15,15,85,Призер,10
482,№ 1097661,60,60,90,Призер,11
483,№ 1098359,50,50,100,Победитель,11
484,№ 1098473,30,30,85,Призер,10
485,№ 1098705,40,40,100,Победитель,11
486,№ 1098772,65,65,85,Призер,10
487,№ 1100098,40,40,100,Победитель,11
488,№ 1100249,15,15,100,Победитель,10
489,№ 1100961,45,45,100,Победитель,11
490,№ 1101069,35,35,90,Призер,11
491,№ 1101413,55,55,100,Победитель,11
492,№ 1101427,15,15,85,Призер,11
493,№ 1101649,40,40,85,Призер,11
494,№ 1101702,55,55,90,Призер,11
495,№ 1101918,2,2,90,Призер,11
496,№ 1101950,35,35,90,Призер,11
497,№ 1102115,35,35,75,Призер,10
498,№ 1102224,5,5,100,Победитель,11
499,№ 1102273,35,35,100,Победитель,11
500,№ 1102283,10,10,90,Призер,10
501,№ 1102354,80,80,85,Призер,11
502,№ 1102425,60,60,100,Победитель,10
503,№ 1102544,60,60,85,Призер,11
504,№ 1102697,25,25,90,Призер,11
505,№ 1102943,90,90,85,Призер,10
506,№ 1103125,40,40,90,Призер,11
507,№ 1103211,45,45,100,Победитель,11
508,№ 1103283,2,2,100,Победитель,11
509,№ 1103348,20,20,100,Победитель,11
510,№ 1103434,70,70,80,Призер,11
511,№ 1103449,45,45,100,Победитель,11
512,№ 1103564,75,75,90,Призер,11
513,№ 1103762,45,45,100,Победитель,11
514,№ 1103932,70,70,85,Призер,11
515,№ 1104003,30,30,85,Призер,11
516,№ 1104067,20,20,80,Призер,11
517,№ 1104121,40,40,85,Призер,11
