id,,Класс,Регион,Задача 1,Задача 2,Задача 3,Задача 4,Задача 5,Сумма,Статус
14790,7,Вологодская,0,7,3,3,0,13,Участник
29880,7,Свердловская,0,0,7,6,0,13,Участник
2220,7,Мордовия,7,0,3,2,0,12,Участник
2293,7,Краснодарский,7,0,1,4,0,12,Участник
6020,7,Пензенская,7,0,1,4,0,12,Участник
6253,7,Новосибирская,7,0,2,3,0,12,Участник
6656,7,Иркутская,7,0,3,2,0,12,Участник
6992,7,Республика Казахстан,0,0,7,5,0,12,Участник
7535,7,Пензенская,7,2,3,0,0,12,Участник
13933,7,Республика Казахстан,0,7,3,2,0,12,Участник
22250,7,Новосибирская,7,0,1,4,0,12,Участник
7004,7,Республика Казахстан,0,0,7,4,0,11,Участник
29047,7,Тюменская,7,1,2,1,0,11,Участник
4635,7,Воронежская,0,0,6,4,0,10,Участник
5278,7,Мордовия,7,0,1,2,0,10,Участник
8060,7,Новосибирская,0,0,7,3,0,10,Участник
19475,7,Бурятия,0,0,7,3,0,10,Участник
20711,7,Вологодская,0,0,7,3,0,10,Участник
22552,7,Курганская,0,0,7,3,0,10,Участник
27435,7,Курганская,7,0,3,0,0,10,Участник
28744,7,Татарстан,0,1,7,2,0,10,Участник
28765,7,Татарстан,0,0,7,3,0,10,Участник
661,7,Новосибирская,0,0,7,2,0,9,Участник
2152,7,Новосибирская,0,0,6,3,0,9,Участник
4808,7,Мордовия,0,0,7,2,0,9,Участник
12770,7,Вологодская,0,0,7,2,0,9,Участник
14063,7,Челябинская,0,7,0,2,0,9,Участник
20875,7,Новосибирская,0,0,7,2,0,9,Участник
3464,7,Пензенская,7,0,0,1,0,8,Участник
6073,7,Республика Казахстан,0,0,7,1,0,8,Участник
6236,7,Бурятия,0,0,7,1,0,8,Участник
6351,7,Республика Казахстан,0,7,1,0,0,8,Участник
6867,7,Новосибирская,0,1,7,0,0,8,Участник
18035,7,Вологодская,7,0,1,0,0,8,Участник
21185,7,Новосибирская,0,0,1,7,0,8,Участник
21467,7,Алтайский,7,0,0,1,0,8,Участник
28143,7,Алтайский,0,0,7,1,0,8,Участник
28899,7,Хабаровский,0,0,1,7,0,8,Участник
29290,7,Тюменская,0,1,7,0,0,8,Участник
1066,7,Бурятия,0,7,0,0,0,7,Участник
3494,7,Новосибирская,0,0,6,1,0,7,Участник
4538,7,Мордовия,0,0,7,0,0,7,Участник
5122,7,Мордовия,7,0,0,0,0,7,Участник
6572,7,Москва,7,0,0,0,0,7,Участник
6636,7,Саха /Якутия/,7,0,0,0,0,7,Участник
6809,7,Саха /Якутия/,7,0,0,0,0,7,Участник
8635,7,Республика Казахстан,0,0,7,0,0,7,Участник
8732,7,Тюменская,7,0,0,0,0,7,Участник
11145,7,Иркутская,0,0,7,0,0,7,Участник
11161,7,Камчатский,7,0,0,0,0,7,Участник
21458,7,Ямало-Ненецкий,0,0,3,4,0,7,Участник
22106,7,Ямало-Ненецкий,0,0,7,0,0,7,Участник
22281,7,Новосибирская,0,0,7,0,0,7,Участник
22835,7,Тюменская,0,0,7,0,0,7,Участник
27556,7,Республика Казахстан,0,7,0,0,0,7,Участник
29234,7,Курганская,0,0,7,0,0,7,Участник
30815,7,Новосибирская,0,0,7,0,0,7,Участник
9242,7,Новосибирская,0,0,0,6,0,6,Участник
3515,7,Омская,0,0,1,4,0,5,Участник
18085,7,Вологодская,0,0,0,5,0,5,Участник
20347,7,Свердловская,0,0,0,5,0,5,Участник
29311,7,Красноярский,0,0,1,4,0,5,Участник
3294,7,Московская,0,0,3,1,0,4,Участник
5757,7,Вологодская,0,0,1,3,0,4,Участник
23096,7,Алтайский,0,0,0,4,0,4,Участник
26255,7,Тыва,0,0,1,3,0,4,Участник
26772,7,Иркутская,0,0,1,3,0,4,Участник
28759,7,Татарстан,0,0,3,1,0,4,Участник
28933,7,Хакасия,0,0,1,3,0,4,Участник
3157,7,Пензенская,0,0,0,3,0,3,Участник
4528,7,Мордовия,0,0,3,0,0,3,Участник
6081,7,Пензенская,0,0,0,3,0,3,Участник
11166,7,Саха /Якутия/,0,0,3,0,0,3,Участник
12406,7,Тюменская,0,0,1,2,0,3,Участник
20421,7,Новосибирская,0,0,3,0,0,3,Участник
22720,7,Иркутская,0,0,0,3,0,3,Участник
25826,7,Алтайский,0,0,3,0,0,3,Участник
3022,7,Краснодарский,0,0,0,2,0,2,Участник
4010,7,Пензенская,0,0,1,1,0,2,Участник
5393,7,Республика Казахстан,0,0,1,1,0,2,Участник
6714,7,Саха /Якутия/,0,0,1,1,0,2,Участник
9445,7,Новосибирская,0,1,1,0,0,2,Участник
10732,7,Тюменская,0,0,0,2,0,2,Участник
12358,7,Новосибирская,0,0,1,1,0,2,Участник
14188,7,Омская,0,0,0,2,0,2,Участник
15037,7,Московская,0,0,1,1,0,2,Участник
18048,7,Вологодская,0,0,1,1,0,2,Участник
20554,7,Свердловская,0,0,0,2,0,2,Участник
21188,7,Кемеровская область - Кузбасс,0,0,1,1,0,2,Участник
21920,7,Курганская,0,0,0,2,0,2,Участник
22094,7,Алтайский,0,0,1,1,0,2,Участник
26913,7,Новосибирская,0,0,1,1,0,2,Участник
27132,7,Новосибирская,0,1,0,1,0,2,Участник
27414,7,Иркутская,0,0,1,1,0,2,Участник
29350,7,Тюменская,0,0,2,0,0,2,Участник
31412,7,Иркутская,0,0,1,1,0,2,Участник
2251,7,Новосибирская,0,0,1,0,0,1,Участник
3205,7,Новосибирская,0,0,1,0,0,1,Участник
5385,7,Бурятия,0,0,0,1,0,1,Участник
6835,7,Саха /Якутия/,0,0,0,1,0,1,Участник
8967,7,Саха /Якутия/,0,0,0,1,0,1,Участник
9240,7,Иркутская,0,0,1,0,0,1,Участник
10112,7,Новосибирская,0,0,0,1,0,1,Участник
13224,7,Пензенская,0,0,0,1,0,1,Участник
13356,7,Саха /Якутия/,0,0,1,0,0,1,Участник
16025,7,Республика Казахстан,0,0,0,1,0,1,Участник
21818,7,Новосибирская,0,0,1,0,0,1,Участник
27455,7,Бурятия,0,0,0,1,0,1,Участник
28497,7,Иркутская,0,0,1,0,0,1,Участник
28812,7,Республика Казахстан,0,0,1,0,0,1,Участник
29232,7,Красноярский,0,0,0,1,0,1,Участник
3501,7,Новосибирская,0,0,0,0,0,0,Участник
4725,7,Мордовия,0,0,0,0,0,0,Участник
5716,7,Саха /Якутия/,0,0,0,0,0,0,Участник
6625,7,Хабаровский,0,0,0,0,0,0,Участник
7271,7,Иркутская,0,0,0,0,0,0,Участник
