"user_id Класс Регион                          Площадка, этап 1    score_1 score_2 score_3 score_4 score_5 Баллы, 1 этап     Статус"
"5166   7   Мордовия                        Online (из дома)       -      -      -       -      -    0"
"5188   7   Мордовия                        Online (из дома)       -      -      -       -      -    0"
"5227   7   Мордовия                        Online (из дома)     0.00   0.00   0.00    0.00   0.00   0"
"5814   7   Республика Казахстан            Online (из дома)       -      -      -       -      -    0"
"5924   7   Краснодарский                   Online (из дома)       -      -      -       -      -    0"
"5938   7   Москва                          Online (из дома)       -      -      -       -      -    0"
"5977   7   Краснодарский                   Online (из дома)     0.00   0.00   0.00    0.00   0.00   0"
""
"Page 2"
" 6952   7   Республика Казахстан            Online (из дома)       -      -      -      -      -    0"
"6974   7   Воронежская                     Online (из дома)       -      -      -      -      -    0"
"7213   7   Свердловская                    Online (из дома)       -      -      -      -      -    0"
"7354   7   Тюменская                       Online (из дома)       -      -      -      -      -    0"
"7488   7   Московская                      Online (из дома)       -      -      -      -      -    0"
"7529   7   Вологодская                     Online (из дома)       -      -      -      -      -    0"
"7931   7   Республика Казахстан            Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"7991   7   Пензенская                      Online (из дома)       -      -      -      -      -    0"
"8060   7   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"8332   7   Краснодарский                   Online (из дома)       -      -      -      -      -    0"
"8463   7   Воронежская                     Online (из дома)       -      -      -      -      -    0"
"8520   7   Тюменская                       Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"8883   7   Москва                          Online (из дома)       -      -      -      -      -    0"
"9116   7   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"9145   7   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"9240   7   Иркутская                       Online (из дома)       -      -      -      -      -    0"
"9668   7   Ростовская                      Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"9712   7   Ростовская                      Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"10841   7   Иркутская                       Online (из дома)       -      -      -      -      -    0"
"10920   7   Воронежская                     Online (из дома)       -      -      -      -      -    0"
"11025   7   Вологодская                     Online (из дома)       -      -      -      -      -    0"
"11184   7   Кемеровская область - Кузбасс   Online (из дома)       -      -      -      -      -    0"
"11878   7   Свердловская                    Online (из дома)       -      -      -      -      -    0"
"12108   7   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"12358   7   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"12697   7   Татарстан                       Online (из дома)       -      -      -      -      -    0"
"12911   7   Московская                      Online (из дома)       -      -      -      -      -    0"
"13110   7   Ростовская                      Online (из дома)       -      -      -      -      -    0"
"13747   7   Вологодская                     Online (из дома)       -      -      -      -      -    0"
"13769   7   Вологодская                     Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"14437   7   Московская                      Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"14565   7   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
"14751   7   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"15381   7   Новосибирская                   Online (из дома)       -      -      -      -      -    0"
"15582   7   Новосибирская                   Online (из дома)     0.00   0.00   0.00   0.00   0.00   0"
""
"Page 3"
"15798   7   Ульяновская       Online (из дома)       -        -        -       -       -      0"
"16157   7   Новосибирская     Online (из дома)       -        -        -       -       -      0"
"6006   8   Москва            Online (из дома)    100.00    0.00    100.00   83.00   66.00   349   Победитель"
"8407   8   Москва            Online (из дома)    100.00    0.00    100.00   70.00   60.00   330   Победитель"
"4459   8   Бурятия           Online (из дома)    100.00    0.00    100.00   4.00    96.00   300   Победитель"
"10452   8   Томская           Online (из дома)    100.00    0.00    100.00   47.00   52.00   299   Победитель"
"3870   8   Алтайский         Online (из дома)    100.00    0.00    100.00   44.00   54.00   298   Победитель"
"8467   8   Новосибирская     Online (из дома)    100.00   100.00    49.00   9.00    30.00   288   Победитель"
"12475   8   Свердловская      Online (из дома)    100.00    0.00    100.00   44.00   44.00   288   Победитель"
